Status,Key,Value,Description,Notes,Key_Category ,Service,Entity_Type,Entity_Name,Item_Type,Working_Notes
Live,/wp-20-walet/ANDROID_BUNDLE_ID,com.fourdotzero.walletX,See https://play.google.com/console/u/0/developers/7220608786485378005/app-list,To be Refactored to ${VPC}/${STAGE}/ANDROID_BUNDLE_ID, com.fourdotzero.wallet1 | com.fourdotzero.wallet2,ENV_VAR,wp-20-walet,WALLET_PROVIDER,ALL,VALUE
Live,/wp-20-walet/ACCOUNT_ID_LABEL,4.0 Account ID,wp-20-walet,-,ENV_VAR,wp-20-walet,WALLET_PROVIDER,ALL,VALUE,-
Live,/wp-20-walet/APP_NAME,"pnpd-dev, west-dev, west, pnpd",TBD,To be Refactored to ${VPC}/${STAGE}/WALLET_NAME,ENV_VAR,wp-20-walet,WALLET_PROVIDER,ALL,VALUE,-
Live,/wp-20-walet/BASE_API_URL,TBD,TBD,To be refactored to use existing BASE_API_URL,ENV_VAR,wp-20-walet,WALLET_PROVIDER,ALL,URL,-
Live,/wp-20-walet/BASE_GQL_URL,TBD,TBD,To be refactored to use existing BASE_GQL_URL,ENV_VAR,wp-20-walet,WALLET_PROVIDER,ALL,URL,-
Live,/wp-20-walet/CHROME_APP_ID,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,The ID for Extension in the Chrome Web Store. This can be found in the [Chrome Web Store Developer Console](https://chrome.google.com/webstore/devconsole/) (edite,To be Refactored to ${VPC}/${STAGE}/CHROME_APP_ID,ENV_VAR,wp-20-walet,WALLET_PROVIDER,ALL,VALUE,-
Live,/wp-20-walet/CHROME_WEB_STORE_URL,https://chromewebstore.google.com/detail/name-of-app/xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,The URL for Extension in the Chrome Web Store.,To be Refactored to ${VPC}/${STAGE}/CHROME_WEB_STORE_URL,ENV_VAR,wp-23-sdk-js,WALLET_PROVIDER,ALL,VALUE,-
Live,/wp-20-walet/COGNITO_CLIENT_ID,xxxxxxxxxxxxx,TBD,To be Refactored to ${VPC}/${STAGE}/COGNITO_CLIENT_ID_WALLET,ENV_VAR,wp-20-walet,WALLET_PROVIDER,ALL,VALUE,-
Live,/wp-20-walet/COGNITO_USER_POOL_ID,0_1X2X3X4X5,TBD,To be Refactored to ${VPC}/${STAGE}/COGNITO_USERPOOL_WALLET,ENV_VAR,wp-20-walet,WALLET_PROVIDER,ALL,VALUE,-
Live,/wp-20-walet/FIREBASE_ANDROID_APP_ID,x:xxxxxxxxxxxx:android:xxxxxxxxxxxxxxxxxxxxxx,Both found in the Firebase console -> Project settings. iOS builds share the same value.,To be Refactored to ${VPC}/${STAGE}/FIREBASE_ANDROID_APP_ID,ENV_VAR,wp-20-walet,WALLET_PROVIDER,ALL,VALUE,-
